type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,077606,群創康和22購01,TW22Z0776064,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077607,鴻海元富1C購07,TW22Z0776072,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077608,聯發科元富31購02,TW22Z0776080,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077609,長榮元富1C購08,TW22Z0776098,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07760P,陽明群益23售05,TW22Z07760P1,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077610,世芯元富23購01,TW22Z0776106,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077611,S&P反1群益24購01,TW22Z0776114,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077612,美費半群益22購01,TW22Z0776122,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077613,FB越南群益1C購01,TW22Z0776130,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077614,美時群益21購01,TW22Z0776148,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077615,金像電群益1C購03,TW22Z0776155,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077616,台新金群益22購01,TW22Z0776163,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077617,大立光群益1C購06,TW22Z0776171,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077618,嘉晶群益1C購01,TW22Z0776189,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077619,創意群益1C購04,TW22Z0776197,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07761P,聯詠群益23售02,TW22Z07761P9,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077620,世芯群益1C購04,TW22Z0776205,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077621,台表科群益1C購02,TW22Z0776213,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077622,南電群益1C購04,TW22Z0776221,2022/06/17,上市,,RWSCCA
